Qty;Value;Parts;Description;RS Online;RS Online
1;16 MHz;Q1;CRYSTAL;814-9440;
1;Rot;LED1 (Rot);LED;228-5922;
1;Gruen;LED2 (Gruen);LED;228-5944;
1;;DISPLAY;PIN HEADER;674-1546;
1;100k;R11;POTENTIOMETER;522-0906;
10;100n;C4 / C5 / C6 / C7 / C8 / C10 / C12 / C15 / C16 / C20;CAPACITOR / European symbol;538-1310;
4;10k;R1 / R2 / R3 / R6 / R7;RESISTOR / European symbol;707-8906;
4;10n;C3 / C9 / C11 / C14;CAPACITOR / European symbol;538-1180;
2;15p;C1 / C2;CAPACITOR / European symbol;133-5669;
1;56R;R4;RESISTOR / European symbol;707-8845;
1;36R;R5;RESISTOR / European symbol;707-8845;
2;27R;R12 / R13;RESISTOR / European symbol;866-7121;
1;2N3904;T1;NPN TRANSISTOR;739-0442;
1;32.768kHz;Y1;32.768kHz Crystal;171-0553;
2;3k3;R9 / R10;RESISTOR / European symbol;707-8883;
1;470n;C13;CAPACITOR / European symbol;801-5394;
3;10u;C18 / C19;POLARIZED CAPACITOR / European symbol;116-868;
1;AVRISP-6;ISP1;AVR ISP HEADER;832-3705;832-3496
1;Blue/White/Green=68/Amber=180;R8;RESISTOR / European symbol;806-6512;135-803
1;DS1337;RTC;DS1337 - Maxim RTC without battery backup;786-0749;
1;FT230XS;IC2;USB to BASIC UART IC;757-0010;
1;LM50;IC3;SOT-23 Single-Supply Centigrade Temperature Sensor;535-9846;
1;MEGA8-P;IC1;MICROCONTROLLER;131-0338;
1;MF-SMDF050;F1;MF-SMDF Series - PRC Resettable Fuses;647-7995;
1;MINI-USB_SHIELD5P2-32005-601;USB;MINI USB-B R/A DIP 5pol.;515-2005;
3;MOMENTARY-SWITCH-SPST-PTH-6.0MM;S1 / S2 / S3;Momentary Switch (Pushbutton) - SPST;479-1413;
1;V1060_21;PH1;Sensor Street Light control;914-6710;
